timestamp,open,high, low,close,volume
2018-06-15,10.47,10.47,10.47,10.47,0.0
2018-06-14,10.47,10.47,10.47,10.47,0.0
2018-06-13,10.47,10.47,10.47,10.47,0.0
2018-06-12,10.47,10.47,10.47,10.47,0.0
2018-06-11,10.47,10.47,10.47,10.47,0.0
2018-06-08,10.47,10.47,10.47,10.47,0.0
2018-06-07,10.47,10.47,10.47,10.47,0.0
2018-06-06,10.47,10.47,10.47,10.47,0.0
2018-06-05,10.47,10.47,10.47,10.47,0.0
2018-06-04,10.47,10.47,10.47,10.47,0.0
2018-06-01,10.47,10.47,10.47,10.47,0.0
2018-05-31,10.47,10.47,10.47,10.47,0.0
2018-05-30,10.47,10.47,10.47,10.47,0.0
2018-05-29,10.47,10.53,10.47,10.47,4643.0
2018-05-25,10.6,11.4553,10.5,10.5,357421.0
2018-05-24,10.46,10.51,10.45,10.5,356034.0
2018-05-23,10.47,10.47,10.47,10.47,0.0
2018-05-22,10.47,10.47,10.47,10.47,0.0
2018-05-21,10.49,10.49,10.47,10.47,100110.0
2018-05-18,10.46,10.46,10.46,10.46,231.0
2018-05-17,10.46,10.46,10.46,10.46,0.0
2018-05-16,10.46,10.46,10.46,10.46,34837.0
2018-05-15,10.465,10.465,10.465,10.465,0.0
2018-05-14,10.46,10.4899,10.46,10.465,1738.0
2018-05-11,10.46,10.46,10.46,10.46,0.0
2018-05-10,10.5,10.5,10.46,10.46,4455.0
2018-05-09,10.45,10.48,10.45,10.48,852215.0
2018-05-08,10.5,10.5,10.5,10.5,0.0
2018-05-07,10.42,10.5,10.42,10.5,388.0
2018-05-04,10.45,10.45,10.45,10.45,0.0
2018-05-03,10.45,10.45,10.45,10.45,0.0
2018-05-02,10.44,10.45,10.44,10.45,370.0
2018-05-01,10.46,10.46,10.45,10.45,935.0
2018-04-30,10.45,10.46,10.45,10.45,152424.0
2018-04-27,10.45,10.45,10.45,10.45,398.0
2018-04-26,10.45,10.45,10.45,10.45,0.0
2018-04-25,10.45,10.45,10.45,10.45,135.0
2018-04-24,10.4499,10.45,10.4499,10.45,542.0
2018-04-23,10.44,10.45,10.44,10.45,14780.0
2018-04-20,10.44,10.44,10.44,10.44,0.0
2018-04-19,10.43,10.44,10.43,10.44,474.0
2018-04-18,10.4,10.44,10.4,10.44,4738.0
2018-04-17,10.4,10.4,10.4,10.4,0.0
2018-04-16,10.4,10.4,10.4,10.4,0.0
2018-04-13,10.4,10.41,10.4,10.4,1781.0
2018-04-12,10.4,10.4,10.4,10.4,0.0
2018-04-11,10.42,10.42,10.4,10.4,556.0
2018-04-10,10.38,10.4,10.38,10.39,633819.0
2018-04-09,10.38,10.38,10.38,10.38,0.0
2018-04-06,10.38,10.38,10.38,10.38,0.0
2018-04-05,10.38,10.38,10.38,10.38,0.0
2018-04-04,10.38,10.38,10.38,10.38,0.0
2018-04-03,10.38,10.38,10.38,10.38,301.0
2018-04-02,10.38,10.38,10.38,10.38,0.0
2018-03-29,10.37,10.38,10.37,10.38,253.0
2018-03-28,10.38,10.38,10.38,10.38,0.0
2018-03-27,10.38,10.38,10.38,10.38,3001.0
2018-03-26,10.38,10.38,10.38,10.38,0.0
2018-03-23,10.38,10.38,10.38,10.38,0.0
2018-03-22,10.38,10.38,10.38,10.38,111.0
2018-03-21,10.36,10.36,10.36,10.36,440.0
2018-03-20,10.37,10.37,10.37,10.37,108.0
2018-03-19,10.23,10.23,10.23,10.23,434.0
2018-03-16,10.38,10.38,10.38,10.38,0.0
2018-03-15,10.38,10.38,10.38,10.38,0.0
